بِسْمِ اللَّٰهِ الرَّحْمَـٰنِ الرَّحِيمِ || bi <wasl> s mi <space> <wasl> l laa hi <space> <wasl> r ra ħ maa ni <space> <wasl> r ra ħii mi
وَمَنْ أَظْلَمُ مِمَّنِ افْتَرَىٰ عَلَى اللَّٰهِ كَذِبًا أَوْ قَالَ أُوحِيَ إِلَيَّ وَلَمْ يُوحَ إِلَيْهِ شَيْءٌ وَمَن قَالَ سَأُنزِلُ مِثْلَ مَا أَنزَلَ اللَّٰهُ ۗ وَلَوْ تَرَىٰ إِذِ الظَّالِمُونَ فِي غَمَرَاتِ الْمَوْتِ وَالْمَلَائِكَةُ بَاسِطُو أَيْدِيهِمْ أَخْرِجُوا أَنفُسَكُمُ ۖ الْيَوْمَ تُجْزَوْنَ عَذَابَ الْهُونِ بِمَا كُنتُمْ تَقُولُونَ عَلَى اللَّٰهِ غَيْرَ الْحَقِّ وَكُنتُمْ عَنْ آيَاتِهِ تَسْتَكْبِرُونَ || wa ma n <space> ʔa ðˤ la mu <space> mi m ma ni <space> <wasl> f ta raa <space> ʕa laa <space> <wasl> l laa hi <space> ka ði ban <space> ʔa w <space> qaa la <space> ʔuu ħi ya <space> ʔi la y ya <space> wa la m <space> yuu ħa <space> ʔi la y hi <space> ʃa y ʔun <space> wa ma n <space> qaa la <space> sa ʔu n zi lu <space> mi θ la <space> maa <space> ʔa n za la <space> <wasl> l laa hu <space> wa la w <space> ta raa <space> ʔi ði <space> <wasl> ðˤ ðˤaa li muu na <space> fii <space> ɣa ma raa ti <space> <wasl> l ma w ti <space> wa <wasl> l ma laa ʔi ka Tu <space> baa si tˤuu <space> ʔa y di yii hi m <space> ʔa x ri juu <space> ʔa n fu sa ku mu <space> <wasl> l ya w ma <space> tu j za w na <space> ʕa ðaa ba <space> <wasl> l huu ni <space> bi maa <space> ku n tu m <space> ta quu luu na <space> ʕa laa <space> <wasl> l laa hi <space> ɣa y ra <space> <wasl> l ħa q qi <space> wa ku n tu m <space> ʕa n <space> ʔaa yaa ti hii <space> ta s ta k bi ruu na
وَلَقَدْ جِئْتُمُونَا فُرَادَىٰ كَمَا خَلَقْنَاكُمْ أَوَّلَ مَرَّةٍ وَتَرَكْتُم مَّا خَوَّلْنَاكُمْ وَرَاءَ ظُهُورِكُمْ ۖ وَمَا نَرَىٰ مَعَكُمْ شُفَعَاءَكُمُ الَّذِينَ زَعَمْتُمْ أَنَّهُمْ فِيكُمْ شُرَكَاءُ ۚ لَقَد تَّقَطَّعَ بَيْنَكُمْ وَضَلَّ عَنكُم مَّا كُنتُمْ تَزْعُمُونَ || wa la qa d <space> ji ʔ tu muu naa <space> fu raa daa <space> ka maa <space> xa la q naa ku m <space> ʔa w wa la <space> ma r ra Tin <space> wa ta ra k tu m <space> m maa <space> xa w wa <wasl> l naa ku m <space> wa raa ʔa <space> ðˤu huu ri ku m <space> wa maa <space> na raa <space> ma ʕa ku m <space> ʃu fa ʕaa ʔa ku mu <space> <wasl> l la ðii na <space> za ʕa m tu m <space> ʔa n na hu m <space> fii ku m <space> ʃu ra kaa ʔu <space> la qa d <space> t ta qa tˤ tˤa ʕa <space> ba y na ku m <space> wa dˤa l la <space> ʕa n ku m <space> m maa <space> ku n tu m <space> ta z ʕu muu na
إِنَّ اللَّٰهَ فَالِقُ الْحَبِّ وَالنَّوَىٰ ۖ يُخْرِجُ الْحَيَّ مِنَ الْمَيِّتِ وَمُخْرِجُ الْمَيِّتِ مِنَ الْحَيِّ ۚ ذَٰلِكُمُ اللَّٰهُ ۖ فَأَنَّىٰ تُؤْفَكُونَ || ʔi n na <space> <wasl> l laa ha <space> faa li qu <space> <wasl> l ħa b bi <space> wa <wasl> n na waa <space> yu x ri ju <space> <wasl> l ħa y ya <space> mi na <space> <wasl> l ma y yi ti <space> wa mu x ri ju <space> <wasl> l ma y yi ti <space> mi na <space> <wasl> l ħa y yi <space> ðaa li ku mu <space> <wasl> l laa hu <space> fa ʔa n naa <space> tu ʔ fa kuu na
فَالِقُ الْإِصْبَاحِ وَجَعَلَ اللَّيْلَ سَكَنًا وَالشَّمْسَ وَالْقَمَرَ حُسْبَانًا ۚ ذَٰلِكَ تَقْدِيرُ الْعَزِيزِ الْعَلِيمِ || faa li qu <space> <wasl> l ʔi sˤ baa ħi <space> wa ja ʕa la <space> <wasl> l la y la <space> sa ka nan <space> wa <wasl> ʃ ʃa m sa <space> wa <wasl> l qa ma ra <space> ħu s baa nan <space> ðaa li ka <space> ta q di yii ru <space> <wasl> l ʕa zii zi <space> <wasl> l ʕa lii mi
وَهُوَ الَّذِي جَعَلَ لَكُمُ النُّجُومَ لِتَهْتَدُوا بِهَا فِي ظُلُمَاتِ الْبَرِّ وَالْبَحْرِ ۗ قَدْ فَصَّلْنَا الْآيَاتِ لِقَوْمٍ يَعْلَمُونَ || wa hu wa <space> <wasl> l la ðii <space> ja ʕa la <space> la ku mu <space> <wasl> n nu juu ma <space> li ta h ta duu <space> bi haa <space> fii <space> ðˤu lu maa ti <space> <wasl> l ba r ri <space> wa <wasl> l ba ħ ri <space> qa d <space> fa sˤ sˤa l naa <space> <wasl> l ʔaa yaa ti <space> li qa w min <space> ya ʕ la muu na
وَهُوَ الَّذِي أَنشَأَكُم مِّن نَّفْسٍ وَاحِدَةٍ فَمُسْتَقَرٌّ وَمُسْتَوْدَعٌ ۗ قَدْ فَصَّلْنَا الْآيَاتِ لِقَوْمٍ يَفْقَهُونَ || wa hu wa <space> <wasl> l la ðii <space> ʔa n ʃa ʔa ku m <space> m mi n <space> n na f sin <space> waa ħi da Tin <space> fa mu s ta qa r run <space> wa mu s ta w da ʕun <space> qa d <space> fa sˤ sˤa l naa <space> <wasl> l ʔaa yaa ti <space> li qa w min <space> ya f qa huu na
وَهُوَ الَّذِي أَنزَلَ مِنَ السَّمَاءِ مَاءً فَأَخْرَجْنَا بِهِ نَبَاتَ كُلِّ شَيْءٍ فَأَخْرَجْنَا مِنْهُ خَضِرًا نُّخْرِجُ مِنْهُ حَبًّا مُّتَرَاكِبًا وَمِنَ النَّخْلِ مِن طَلْعِهَا قِنْوَانٌ دَانِيَةٌ وَجَنَّاتٍ مِّنْ أَعْنَابٍ وَالزَّيْتُونَ وَالرُّمَّانَ مُشْتَبِهًا وَغَيْرَ مُتَشَابِهٍ ۗ انظُرُوا إِلَىٰ ثَمَرِهِ إِذَا أَثْمَرَ وَيَنْعِهِ ۚ إِنَّ فِي ذَٰلِكُمْ لَآيَاتٍ لِّقَوْمٍ يُؤْمِنُونَ || wa hu wa <space> <wasl> l la ðii <space> ʔa n za la <space> mi na <space> <wasl> s sa maa ʔi <space> maa ʔan <space> fa ʔa x ra j naa <space> bi hii <space> na baa ta <space> ku l li <space> ʃa y ʔin <space> fa ʔa x ra j naa <space> mi n hu <space> xa dˤi ran <space> n nu x ri ju <space> mi n hu <space> ħa b ban <space> m mu ta raa ki ban <space> wa mi na <space> <wasl> n na x li <space> mi n <space> tˤa l ʕi haa <space> qi n waa nun <space> daa ni ya Tun <space> wa ja n naa tin <space> m mi n <space> ʔa ʕ naa bin <space> wa <wasl> z za y tuu na <space> wa <wasl> r ru m maa na <space> mu ʃ ta bi han <space> wa ɣa y ra <space> mu ta ʃaa bi hin <space> <wasl> n ðˤu ruu <space> ʔi laa <space> θa ma ri hii <space> ʔi ðaa <space> ʔa θ ma ra <space> wa ya n ʕi hii <space> ʔi n na <space> fii <space> ðaa li ku m <space> la ʔaa yaa tin <space> l li qa w min <space> yu ʔ mi nuu na
وَجَعَلُوا لِلَّهِ شُرَكَاءَ الْجِنَّ وَخَلَقَهُمْ ۖ وَخَرَقُوا لَهُ بَنِينَ وَبَنَاتٍ بِغَيْرِ عِلْمٍ ۚ سُبْحَانَهُ وَتَعَالَىٰ عَمَّا يَصِفُونَ || wa ja ʕa luu <space> li l laa hi <space> ʃu ra kaa ʔa <space> <wasl> l ji n na <space> wa xa la qa hu m <space> wa xa ra quu <space> la huu <space> ba nii na <space> wa ba naa tin <space> bi ɣa y ri <space> ʕi l min <space> su b ħaa na huu <space> wa ta ʕaa laa <space> ʕa m maa <space> ya sˤi fuu na
بَدِيعُ السَّمَاوَاتِ وَالْأَرْضِ ۖ أَنَّىٰ يَكُونُ لَهُ وَلَدٌ وَلَمْ تَكُن لَّهُ صَاحِبَةٌ ۖ وَخَلَقَ كُلَّ شَيْءٍ ۖ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ || ba dii ʕu <space> <wasl> s sa maa waa ti <space> wa <wasl> l ʔa r dˤi <space> ʔa n naa <space> ya kuu nu <space> la huu <space> wa la dun <space> wa la m <space> ta ku n <space> l la huu <space> sˤaa ħi ba Tun <space> wa xa la qa <space> ku l la <space> ʃa y ʔin <space> wa hu wa <space> bi ku l li <space> ʃa y ʔin <space> ʕa lii mun
ذَٰلِكُمُ اللَّٰهُ رَبُّكُمْ ۖ لَا إِلَـٰهَ إِلَّا هُوَ ۖ خَالِقُ كُلِّ شَيْءٍ فَاعْبُدُوهُ ۚ وَهُوَ عَلَىٰ كُلِّ شَيْءٍ وَكِيلٌ || ðaa li ku mu <space> <wasl> l laa hu <space> ra b bu ku m <space> laa <space> ʔi laa ha <space> ʔi l laa <space> hu wa <space> xaa li qu <space> ku l li <space> ʃa y ʔin <space> fa ʕ bu duu hu <space> wa hu wa <space> ʕa laa <space> ku l li <space> ʃa y ʔin <space> wa kii lun
لَّا تُدْرِكُهُ الْأَبْصَارُ وَهُوَ يُدْرِكُ الْأَبْصَارَ ۖ وَهُوَ اللَّطِيفُ الْخَبِيرُ || l laa <space> tu d ri ku hu <space> <wasl> l ʔa b sˤaa ru <space> wa hu wa <space> yu d ri ku <space> <wasl> l ʔa b sˤaa ra <space> wa hu wa <space> <wasl> l la tˤii fu <space> <wasl> l xa bii ru
قَدْ جَاءَكُم بَصَائِرُ مِن رَّبِّكُمْ ۖ فَمَنْ أَبْصَرَ فَلِنَفْسِهِ ۖ وَمَنْ عَمِيَ فَعَلَيْهَا ۚ وَمَا أَنَا عَلَيْكُم بِحَفِيظٍ || qa d <space> jaa ʔa ku m <space> ba sˤaa ʔi ru <space> mi n <space> r ra b bi ku m <space> fa ma n <space> ʔa b sˤa ra <space> fa li na f si hii <space> wa ma n <space> ʕa mi ya <space> fa ʕa la y haa <space> wa maa <space> ʔa naa <space> ʕa la y ku m <space> bi ħa fii ðˤin
وَكَذَٰلِكَ نُصَرِّفُ الْآيَاتِ وَلِيَقُولُوا دَرَسْتَ وَلِنُبَيِّنَهُ لِقَوْمٍ يَعْلَمُونَ || wa ka ðaa li ka <space> nu sˤa r ri fu <space> <wasl> l ʔaa yaa ti <space> wa li ya quu luu <space> da ra s ta <space> wa li nu ba y yi na huu <space> li qa w min <space> ya ʕ la muu na
اتَّبِعْ مَا أُوحِيَ إِلَيْكَ مِن رَّبِّكَ ۖ لَا إِلَـٰهَ إِلَّا هُوَ ۖ وَأَعْرِضْ عَنِ الْمُشْرِكِينَ || <wasl> t ta bi ʕ <space> maa <space> ʔuu ħi ya <space> ʔi la y ka <space> mi n <space> r ra b bi ka <space> laa <space> ʔi laa ha <space> ʔi l laa <space> hu wa <space> wa ʔa ʕ ri dˤ <space> ʕa ni <space> <wasl> l mu ʃ ri kii na
وَلَوْ شَاءَ اللَّٰهُ مَا أَشْرَكُوا ۗ وَمَا جَعَلْنَاكَ عَلَيْهِمْ حَفِيظًا ۖ وَمَا أَنتَ عَلَيْهِم بِوَكِيلٍ || wa la w <space> ʃaa ʔa <space> <wasl> l laa hu <space> maa <space> ʔa ʃ ra kuu <space> wa maa <space> ja ʕa l naa ka <space> ʕa la y hi m <space> ħa fii ðˤan <space> wa maa <space> ʔa n ta <space> ʕa la y hi m <space> bi wa kii lin
وَلَا تَسُبُّوا الَّذِينَ يَدْعُونَ مِن دُونِ اللَّٰهِ فَيَسُبُّوا اللَّٰهَ عَدْوًا بِغَيْرِ عِلْمٍ ۗ كَذَٰلِكَ زَيَّنَّا لِكُلِّ أُمَّةٍ عَمَلَهُمْ ثُمَّ إِلَىٰ رَبِّهِم مَّرْجِعُهُمْ فَيُنَبِّئُهُم بِمَا كَانُوا يَعْمَلُونَ || wa laa <space> ta su b buu <space> <wasl> l la ðii na <space> ya d ʕuu na <space> mi n <space> duu ni <space> <wasl> l laa hi <space> fa ya su b buu <space> <wasl> l laa ha <space> ʕa d wan <space> bi ɣa y ri <space> ʕi l min <space> ka ðaa li ka <space> za y ya n naa <space> li ku l li <space> ʔu m ma Tin <space> ʕa ma la hu m <space> θu m ma <space> ʔi laa <space> ra b bi hi m <space> m ma r ji ʕu hu m <space> fa yu na b bi ʔu hu m <space> bi maa <space> kaa nuu <space> ya ʕ ma luu na
وَأَقْسَمُوا بِاللَّٰهِ جَهْدَ أَيْمَانِهِمْ لَئِن جَاءَتْهُمْ آيَةٌ لَّيُؤْمِنُنَّ بِهَا ۚ قُلْ إِنَّمَا الْآيَاتُ عِندَ اللَّٰهِ ۖ وَمَا يُشْعِرُكُمْ أَنَّهَا إِذَا جَاءَتْ لَا يُؤْمِنُونَ || wa ʔa q sa muu <space> bi <wasl> l laa hi <space> ja h da <space> ʔa y maa ni hi m <space> la ʔi n <space> jaa ʔa t hu m <space> ʔaa ya Tun <space> l la yu ʔ mi nu n na <space> bi haa <space> qu l <space> ʔi n na maa <space> <wasl> l ʔaa yaa tu <space> ʕi n da <space> <wasl> l laa hi <space> wa maa <space> yu ʃ ʕi ru ku m <space> ʔa n na haa <space> ʔi ðaa <space> jaa ʔa t <space> laa <space> yu ʔ mi nuu na
وَنُقَلِّبُ أَفْئِدَتَهُمْ وَأَبْصَارَهُمْ كَمَا لَمْ يُؤْمِنُوا بِهِ أَوَّلَ مَرَّةٍ وَنَذَرُهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ || wa nu qa l li bu <space> ʔa f ʔi da ta hu m <space> wa ʔa b sˤaa ra hu m <space> ka maa <space> la m <space> yu ʔ mi nuu <space> bi hii <space> ʔa w wa la <space> ma r ra Tin <space> wa na ða ru hu m <space> fii <space> tˤu ɣ yaa ni hi m <space> ya ʕ ma huu na
وَلَوْ أَنَّنَا نَزَّلْنَا إِلَيْهِمُ الْمَلَائِكَةَ وَكَلَّمَهُمُ الْمَوْتَىٰ وَحَشَرْنَا عَلَيْهِمْ كُلَّ شَيْءٍ قُبُلًا مَّا كَانُوا لِيُؤْمِنُوا إِلَّا أَن يَشَاءَ اللَّٰهُ وَلَـٰكِنَّ أَكْثَرَهُمْ يَجْهَلُونَ || wa la w <space> ʔa n na naa <space> na z za l naa <space> ʔi la y hi mu <space> <wasl> l ma laa ʔi ka Ta <space> wa ka l la ma hu mu <space> <wasl> l ma w taa <space> wa ħa ʃa r naa <space> ʕa la y hi m <space> ku l la <space> ʃa y ʔin <space> qu bu lan <space> m maa <space> kaa nuu <space> li yu ʔ mi nuu <space> ʔi l laa <space> ʔa n <space> ya ʃaa ʔa <space> <wasl> l laa hu <space> wa laa ki n na <space> ʔa k θa ra hu m <space> ya j ha luu na
وَكَذَٰلِكَ جَعَلْنَا لِكُلِّ نَبِيٍّ عَدُوًّا شَيَاطِينَ الْإِنسِ وَالْجِنِّ يُوحِي بَعْضُهُمْ إِلَىٰ بَعْضٍ زُخْرُفَ الْقَوْلِ غُرُورًا ۚ وَلَوْ شَاءَ رَبُّكَ مَا فَعَلُوهُ ۖ فَذَرْهُمْ وَمَا يَفْتَرُونَ || wa ka ðaa li ka <space> ja ʕa l naa <space> li ku l li <space> na bi y yin <space> ʕa du w wan <space> ʃa yaa tˤii na <space> <wasl> l ʔi n si <space> wa <wasl> l ji n ni <space> yuu ħii <space> ba ʕ dˤu hu m <space> ʔi laa <space> ba ʕ dˤin <space> zu x ru fa <space> <wasl> l qa w li <space> ɣu ruu ran <space> wa la w <space> ʃaa ʔa <space> ra b bu ka <space> maa <space> fa ʕa luu hu <space> fa ða r hu m <space> wa maa <space> ya f ta ruu na
وَلِتَصْغَىٰ إِلَيْهِ أَفْئِدَةُ الَّذِينَ لَا يُؤْمِنُونَ بِالْآخِرَةِ وَلِيَرْضَوْهُ وَلِيَقْتَرِفُوا مَا هُم مُّقْتَرِفُونَ || wa li ta sˤ ɣaa <space> ʔi la y hi <space> ʔa f ʔi da Tu <space> <wasl> l la ðii na <space> laa <space> yu ʔ mi nuu na <space> bi <wasl> l ʔaa xi ra Ti <space> wa li ya r dˤa w hu <space> wa li ya q ta ri fuu <space> maa <space> hu m <space> m mu q ta ri fuu na
أَفَغَيْرَ اللَّٰهِ أَبْتَغِي حَكَمًا وَهُوَ الَّذِي أَنزَلَ إِلَيْكُمُ الْكِتَابَ مُفَصَّلًا ۚ وَالَّذِينَ آتَيْنَاهُمُ الْكِتَابَ يَعْلَمُونَ أَنَّهُ مُنَزَّلٌ مِّن رَّبِّكَ بِالْحَقِّ ۖ فَلَا تَكُونَنَّ مِنَ الْمُمْتَرِينَ || ʔa fa ɣa y ra <space> <wasl> l laa hi <space> ʔa b ta ɣii <space> ħa ka man <space> wa hu wa <space> <wasl> l la ðii <space> ʔa n za la <space> ʔi la y ku mu <space> <wasl> l ki taa ba <space> mu fa sˤ sˤa lan <space> wa <wasl> l la ðii na <space> ʔaa ta y naa hu mu <space> <wasl> l ki taa ba <space> ya ʕ la muu na <space> ʔa n na huu <space> mu na z za lun <space> m mi n <space> r ra b bi ka <space> bi <wasl> l ħa q qi <space> fa laa <space> ta kuu na n na <space> mi na <space> l mu m ta rii na
وَتَمَّتْ كَلِمَتُ رَبِّكَ صِدْقًا وَعَدْلًا ۚ لَّا مُبَدِّلَ لِكَلِمَاتِهِ ۚ وَهُوَ السَّمِيعُ الْعَلِيمُ || wa ta m ma t <space> ka li ma tu <space> ra b bi ka <space> sˤi d qan <space> wa ʕa d lan <space> l laa <space> mu ba d di la <space> li ka li maa ti hii <space> wa hu wa <space> <wasl> s sa mii ʕu <space> <wasl> l ʕa lii mu
وَإِن تُطِعْ أَكْثَرَ مَن فِي الْأَرْضِ يُضِلُّوكَ عَن سَبِيلِ اللَّٰهِ ۚ إِن يَتَّبِعُونَ إِلَّا الظَّنَّ وَإِنْ هُمْ إِلَّا يَخْرُصُونَ || wa ʔi n <space> tu tˤi ʕ <space> ʔa k θa ra <space> ma n <space> fii <space> <wasl> l ʔa r dˤi <space> yu dˤi l luu ka <space> ʕa n <space> sa bii li <space> <wasl> l laa hi <space> ʔi n <space> ya t ta bi ʕuu na <space> ʔi l laa <space> <wasl> ðˤ ðˤa n na <space> wa ʔi n <space> hu m <space> ʔi l laa <space> ya x ru sˤuu na
إِنَّ رَبَّكَ هُوَ أَعْلَمُ مَن يَضِلُّ عَن سَبِيلِهِ ۖ وَهُوَ أَعْلَمُ بِالْمُهْتَدِينَ || ʔi n na <space> ra b ba ka <space> hu wa <space> ʔa ʕ la mu <space> ma n <space> ya dˤi l lu <space> ʕa n <space> sa bii li hii <space> wa hu wa <space> ʔa ʕ la mu <space> bi <wasl> l mu h ta dii na
فَكُلُوا مِمَّا ذُكِرَ اسْمُ اللَّٰهِ عَلَيْهِ إِن كُنتُم بِآيَاتِهِ مُؤْمِنِينَ || fa ku luu <space> mi m maa <space> ðu ki ra <space> <wasl> s mu <space> <wasl> l laa hi <space> ʕa la y hi <space> ʔi n <space> ku n tu m <space> bi ʔaa yaa ti hii <space> mu ʔ mi nii na
وَمَا لَكُمْ أَلَّا تَأْكُلُوا مِمَّا ذُكِرَ اسْمُ اللَّٰهِ عَلَيْهِ وَقَدْ فَصَّلَ لَكُم مَّا حَرَّمَ عَلَيْكُمْ إِلَّا مَا اضْطُرِرْتُمْ إِلَيْهِ ۗ وَإِنَّ كَثِيرًا لَّيُضِلُّونَ بِأَهْوَائِهِم بِغَيْرِ عِلْمٍ ۗ إِنَّ رَبَّكَ هُوَ أَعْلَمُ بِالْمُعْتَدِينَ || wa maa <space> la ku m <space> ʔa l laa <space> ta ʔ ku luu <space> mi m maa <space> ðu ki ra <space> <wasl> s mu <space> <wasl> l laa hi <space> ʕa la y hi <space> wa qa d <space> fa sˤ sˤa la <space> la ku m <space> m maa <space> ħa r ra ma <space> ʕa la y ku m <space> ʔi l laa <space> maa <space> <wasl> dˤ tˤu ri r tu m <space> ʔi la y hi <space> wa ʔi n na <space> ka θii ran <space> l la yu dˤi l luu na <space> bi ʔa h waa ʔi hi m <space> bi ɣa y ri <space> ʕi l min <space> ʔi n na <space> ra b ba ka <space> hu wa <space> ʔa ʕ la mu <space> bi <wasl> l mu ʕ ta dii na
وَذَرُوا ظَاهِرَ الْإِثْمِ وَبَاطِنَهُ ۚ إِنَّ الَّذِينَ يَكْسِبُونَ الْإِثْمَ سَيُجْزَوْنَ بِمَا كَانُوا يَقْتَرِفُونَ || wa ða ruu <space> ðˤaa hi ra <space> <wasl> l ʔi θ mi <space> wa baa tˤi na huu <space> ʔi n na <space> <wasl> l la ðii na <space> ya k si buu na <space> <wasl> l ʔi θ ma <space> sa yu j za w na <space> bi maa <space> kaa nuu <space> ya q ta ri fuu na
وَلَا تَأْكُلُوا مِمَّا لَمْ يُذْكَرِ اسْمُ اللَّٰهِ عَلَيْهِ وَإِنَّهُ لَفِسْقٌ ۗ وَإِنَّ الشَّيَاطِينَ لَيُوحُونَ إِلَىٰ أَوْلِيَائِهِمْ لِيُجَادِلُوكُمْ ۖ وَإِنْ أَطَعْتُمُوهُمْ إِنَّكُمْ لَمُشْرِكُونَ || wa laa <space> ta ʔ ku luu <space> mi m maa <space> la m <space> yu ð ka ri <space> <wasl> s mu <space> <wasl> l laa hi <space> ʕa la y hi <space> wa ʔi n na huu <space> la fi s qun <space> wa ʔi n na <space> <wasl> ʃ ʃa yaa tˤii na <space> la yuu ħuu na <space> ʔi laa <space> ʔa w li yaa ʔi hi m <space> li yu jaa di luu ku m <space> wa ʔi n <space> ʔa tˤa ʕ tu muu hu m <space> ʔi n na ku m <space> la mu ʃ ri kuu na
أَوَمَن كَانَ مَيْتًا فَأَحْيَيْنَاهُ وَجَعَلْنَا لَهُ نُورًا يَمْشِي بِهِ فِي النَّاسِ كَمَن مَّثَلُهُ فِي الظُّلُمَاتِ لَيْسَ بِخَارِجٍ مِّنْهَا ۚ كَذَٰلِكَ زُيِّنَ لِلْكَافِرِينَ مَا كَانُوا يَعْمَلُونَ || ʔa wa ma n <space> kaa na <space> ma y tan <space> fa ʔa ħ ya y naa hu <space> wa ja ʕa l naa <space> la huu <space> nuu ran <space> ya m ʃi yii <space> bi hii <space> fii <space> <wasl> n naa si <space> ka ma n <space> m ma θa lu huu <space> fii <space> <wasl> ðˤ ðˤu lu maa ti <space> la y sa <space> bi xaa ri jin <space> m mi n haa <space> ka ðaa li ka <space> zu y yi na <space> li <wasl> l kaa fi rii na <space> maa <space> kaa nuu <space> ya ʕ ma luu na
وَكَذَٰلِكَ جَعَلْنَا فِي كُلِّ قَرْيَةٍ أَكَابِرَ مُجْرِمِيهَا لِيَمْكُرُوا فِيهَا ۖ وَمَا يَمْكُرُونَ إِلَّا بِأَنفُسِهِمْ وَمَا يَشْعُرُونَ || wa ka ðaa li ka <space> ja ʕa l naa <space> fii <space> ku l li <space> qa r ya Tin <space> ʔa kaa bi ra <space> mu j ri mii haa <space> li ya m ku ruu <space> fii haa <space> wa maa <space> ya m ku ruu na <space> ʔi l laa <space> bi ʔa n fu si hi m <space> wa maa <space> ya ʃ ʕu ruu na
وَإِذَا جَاءَتْهُمْ آيَةٌ قَالُوا لَن نُّؤْمِنَ حَتَّىٰ نُؤْتَىٰ مِثْلَ مَا أُوتِيَ رُسُلُ اللَّٰهِ ۘ اللَّٰهُ أَعْلَمُ حَيْثُ يَجْعَلُ رِسَالَتَهُ ۗ سَيُصِيبُ الَّذِينَ أَجْرَمُوا صَغَارٌ عِندَ اللَّٰهِ وَعَذَابٌ شَدِيدٌ بِمَا كَانُوا يَمْكُرُونَ || wa ʔi ðaa <space> jaa ʔa t hu m <space> ʔaa ya Tun <space> qaa luu <space> la n <space> n nu ʔ mi na <space> ħa t taa <space> nu ʔ taa <space> mi θ la <space> maa <space> ʔuu ti ya <space> ru su lu <space> <wasl> l laa hi <space> <wasl> l laa hu <space> ʔa ʕ la mu <space> ħa y θu <space> ya j ʕa lu <space> ri saa la ta huu <space> sa yu sˤii bu <space> <wasl> l la ðii na <space> ʔa j ra muu <space> sˤa ɣaa run <space> ʕi n da <space> <wasl> l laa hi <space> wa ʕa ðaa bun <space> ʃa dii dun <space> bi maa <space> kaa nuu <space> ya m ku ruu na
فَمَن يُرِدِ اللَّٰهُ أَن يَهْدِيَهُ يَشْرَحْ صَدْرَهُ لِلْإِسْلَامِ ۖ وَمَن يُرِدْ أَن يُضِلَّهُ يَجْعَلْ صَدْرَهُ ضَيِّقًا حَرَجًا كَأَنَّمَا يَصَّعَّدُ فِي السَّمَاءِ ۚ كَذَٰلِكَ يَجْعَلُ اللَّٰهُ الرِّجْسَ عَلَى الَّذِينَ لَا يُؤْمِنُونَ || fa ma n <space> yu ri di <space> <wasl> l laa hu <space> ʔa n <space> ya h di ya huu <space> ya ʃ ra ħ <space> sˤa d ra huu <space> li <wasl> l ʔi s laa mi <space> wa ma n <space> yu ri d <space> ʔa n <space> yu dˤi l la huu <space> ya j ʕa l <space> sˤa d ra huu <space> dˤa y yi qan <space> ħa ra jan <space> ka ʔa n na maa <space> ya sˤ sˤa ʕ ʕa du <space> fii <space> <wasl> s sa maa ʔi <space> ka ðaa li ka <space> ya j ʕa lu <space> <wasl> l laa hu <space> <wasl> r ri j sa <space> ʕa laa <space> <wasl> l la ðii na <space> laa <space> yu ʔ mi nuu na
وَهَـٰذَا صِرَاطُ رَبِّكَ مُسْتَقِيمًا ۗ قَدْ فَصَّلْنَا الْآيَاتِ لِقَوْمٍ يَذَّكَّرُونَ || wa haa ðaa <space> sˤi raa tˤu <space> ra b bi ka <space> mu s ta qii man <space> qa d <space> fa sˤ sˤa l naa <space> <wasl> l ʔaa yaa ti <space> li qa w min <space> ya ð ða k ka ruu na
لَهُمْ دَارُ السَّلَامِ عِندَ رَبِّهِمْ ۖ وَهُوَ وَلِيُّهُم بِمَا كَانُوا يَعْمَلُونَ || la hu m <space> daa ru <space> <wasl> s sa laa mi <space> ʕi n da <space> ra b bi hi m <space> wa hu wa <space> wa li y yu hu m <space> bi maa <space> kaa nuu <space> ya ʕ ma luu na
